divipola,anio,mes,casos_clasico,casos_grave,municipio,departamento,periodo,temp_mean_c,dewpoint_mean_c,rain_mm_day,soil_water_l1_mean,surface_runoff_mm_day,total_evaporation_mm_day_ecmwf,wind_u_mean_ms,wind_v_mean_ms,solar_radiation_mj_m2_day,casos_grave_lag_1,casos_grave_lag_2,casos_grave_lag_3,casos_grave_lag_4,casos_grave_lag_6,casos_grave_roll3,casos_clasico_lag_1,casos_clasico_lag_2,casos_clasico_lag_3,casos_clasico_lag_4,casos_clasico_lag_6,casos_clasico_roll3,temp_mean_c_lag_1,temp_mean_c_lag_2,temp_mean_c_lag_3,rain_mm_day_lag_1,rain_mm_day_lag_2,rain_mm_day_lag_3,mes_sin,mes_cos,p25,p75,zona_canal,sir,es_endemico,brote,casos_objetivo,objetivo,es_inicio,anio_objetivo,mes_objetivo,p25_objetivo,p75_objetivo,zona_objetivo,brote_lag_1
68001,2024,1,639,7,BUCARAMANGA,SANTANDER,2024-01-01,20.455612745180897,16.954400846025788,0.5655470116053071,0.4342445892238383,0.78318382213344,-3.807309552731931,-0.17818132456549435,0.011563644263031986,20.845048042824484,5.0,2.0,3.0,0.0,4.0,10.0,567.0,442.0,487.0,501.0,337.0,1496.0,20.30048671315785,20.28526533769291,20.442520149030084,1.1702344221786585,3.7596913914355086,4.572763651871336,0.49999999999999994,0.8660254037844387,53.0,219.25,2,4.191881918819188,1,1,723.0,1.0,0,2024,2,38.5,243.5,2,1.0
68001,2024,2,723,4,BUCARAMANGA,SANTANDER,2024-02-01,20.72389796078612,18.416612294059263,3.8445738831778242,0.4818249541306908,1.7444444744929393,-3.595705297119367,0.12880853577775322,0.175122586797617,18.063308536193322,7.0,5.0,2.0,3.0,2.0,14.0,639.0,567.0,442.0,487.0,495.0,1648.0,20.455612745180897,20.30048671315785,20.28526533769291,0.5655470116053071,1.1702344221786585,3.7596913914355086,0.8660254037844386,0.5000000000000001,38.5,243.5,2,4.616121308858739,1,1,1071.0,1.0,0,2024,3,42.5,319.5,2,1.0
68001,2024,3,1071,8,BUCARAMANGA,SANTANDER,2024-03-01,20.983419017124277,17.808876791008736,2.2303661099569063,0.4739598048536378,0.92562910257362,-4.005368565321653,-0.06581662336880972,0.1289372867841211,21.57183016433542,4.0,7.0,5.0,2.0,0.0,16.0,723.0,639.0,567.0,442.0,501.0,1929.0,20.72389796078612,20.455612745180897,20.30048671315785,3.8445738831778242,0.5655470116053071,1.1702344221786585,1.0,6.123233995736766e-17,42.5,319.5,2,5.5708712613784135,1,1,1261.0,1.0,0,2024,4,59.5,365.5,2,1.0
68001,2024,4,1261,8,BUCARAMANGA,SANTANDER,2024-04-01,21.019841112652497,18.811888504662456,4.368181838028993,0.47745960185534053,5.799652102777339,-3.240104162078009,0.04177791596710525,0.13953982458757078,16.784734508766405,8.0,4.0,7.0,5.0,3.0,19.0,1071.0,723.0,639.0,567.0,487.0,2433.0,20.983419017124277,20.72389796078612,20.455612745180897,2.2303661099569063,3.8445738831778242,0.5655470116053071,0.8660254037844387,-0.4999999999999998,59.5,365.5,2,5.527671232876712,1,1,1651.0,1.0,0,2024,5,75.25,314.75,2,1.0
68001,2024,5,1651,14,BUCARAMANGA,SANTANDER,2024-05-01,20.941885693432003,19.27480585312888,4.72018725022859,0.47651971006825417,15.491110084170097,-2.716601770849042,0.11638447390352775,0.0602451288067268,13.066251623114047,8.0,8.0,4.0,7.0,2.0,20.0,1261.0,1071.0,723.0,639.0,442.0,3055.0,21.019841112652497,20.983419017124277,20.72389796078612,4.368181838028993,2.2303661099569063,3.8445738831778242,0.49999999999999994,-0.8660254037844387,75.25,314.75,2,6.4555229716520035,1,1,1736.0,1.0,0,2024,6,55.5,340.25,2,1.0
68001,2024,6,1736,11,BUCARAMANGA,SANTANDER,2024-06-01,20.55195044516685,18.868587202571117,2.5402600079696636,0.4793937228545742,15.979267205661676,-2.6654127429134338,0.17108855358467537,-0.04241911534353606,12.586443521784778,14.0,8.0,8.0,4.0,5.0,30.0,1651.0,1261.0,1071.0,723.0,567.0,3983.0,20.941885693432003,21.019841112652497,20.983419017124277,4.72018725022859,4.368181838028993,2.2303661099569063,1.2246467991473532e-16,-1.0,55.5,340.25,2,7.639163916391639,1,1,1463.0,1.0,0,2024,7,45.25,378.5,2,1.0
68001,2024,7,1463,12,BUCARAMANGA,SANTANDER,2024-07-01,20.525346942146182,18.64688064223797,2.9320247797364054,0.47850383884183495,11.643141520214105,-3.08047606717868,-0.04040940419330231,-0.030060369753835556,15.103260858623319,11.0,14.0,8.0,8.0,7.0,33.0,1736.0,1651.0,1261.0,1071.0,639.0,4648.0,20.55195044516685,20.941885693432003,21.019841112652497,2.5402600079696636,4.72018725022859,4.368181838028993,-0.4999999999999997,-0.8660254037844388,45.25,378.5,2,6.1893178212585935,1,1,933.0,1.0,0,2024,8,50.5,283.0,2,1.0
68001,2024,8,933,11,BUCARAMANGA,SANTANDER,2024-08-01,20.62747891194917,18.29469760174213,2.2851951678649463,0.47687370888759517,6.4371278632980085,-3.436701811929554,0.06402253899724868,-0.05421902143867419,17.292035701803403,12.0,11.0,14.0,8.0,4.0,37.0,1463.0,1736.0,1651.0,1261.0,723.0,4850.0,20.525346942146182,20.55195044516685,20.941885693432003,2.9320247797364054,2.5402600079696636,4.72018725022859,-0.8660254037844385,-0.5000000000000004,50.5,283.0,2,4.775431861804223,1,1,640.0,1.0,0,2024,9,57.5,309.0,2,1.0
68001,2024,9,640,5,BUCARAMANGA,SANTANDER,2024-09-01,20.76924845988359,18.57422653979206,3.1714053167895537,0.47447174928319735,5.6954601796202144,-3.0818392256925033,-0.025419233675495315,-0.035463989552759,16.141291190062336,11.0,12.0,11.0,14.0,8.0,34.0,933.0,1463.0,1736.0,1651.0,1071.0,4132.0,20.62747891194917,20.525346942146182,20.55195044516685,2.2851951678649463,2.9320247797364054,2.5402600079696636,-1.0,-1.8369701987210297e-16,57.5,309.0,2,3.5493934142114383,1,1,484.0,1.0,0,2024,10,52.25,267.5,2,1.0
68001,2024,10,484,7,BUCARAMANGA,SANTANDER,2024-10-01,20.088142909620956,18.234257230273414,6.0928839660641625,0.4782790018413848,9.753571482503478,-2.983061702681172,-0.004640514817713024,0.053191776980535,15.395023210641344,5.0,11.0,12.0,11.0,8.0,28.0,640.0,933.0,1463.0,1736.0,1261.0,3036.0,20.76924845988359,20.62747891194917,20.525346942146182,3.1714053167895537,2.2851951678649463,2.9320247797364054,-0.8660254037844386,0.5000000000000001,52.25,267.5,2,3.0524241229798976,1,1,402.0,1.0,0,2024,11,47.0,232.25,2,1.0
68001,2024,11,402,1,BUCARAMANGA,SANTANDER,2024-11-01,19.690761528048537,18.09805648666878,4.662400830311412,0.48299960130573044,9.927632743957162,-2.6793584903443035,0.2680028602999756,0.11077622097203944,13.047750889868768,7.0,5.0,11.0,12.0,14.0,23.0,484.0,640.0,933.0,1463.0,1651.0,2057.0,20.088142909620956,20.76924845988359,20.62747891194917,6.0928839660641625,3.1714053167895537,2.2851951678649463,-0.5000000000000004,0.8660254037844384,47.0,232.25,2,2.7498931167165455,1,1,387.0,1.0,0,2024,12,49.5,158.25,2,1.0
68001,2024,12,387,1,BUCARAMANGA,SANTANDER,2024-12-01,19.74071877637573,17.716100120302226,2.29672610631654,0.482325245804997,10.556218653902173,-3.1100622115002414,0.08011854176759091,0.05031291285272517,15.9347805000762,1.0,7.0,5.0,11.0,11.0,13.0,402.0,484.0,640.0,933.0,1736.0,1526.0,19.690761528048537,20.088142909620956,20.76924845988359,4.662400830311412,6.0928839660641625,3.1714053167895537,-2.4492935982947064e-16,1.0,49.5,158.25,2,2.922133081642284,1,1,323.0,1.0,0,2025,1,53.0,219.25,2,1.0
68001,2025,1,323,2,BUCARAMANGA,SANTANDER,2025-01-01,19.282595208855756,17.145003025312366,0.7557430223123898,0.47922757219555673,7.83036754106791,-3.3422926511328805,-0.057002624485557506,0.059719981586849366,17.721177027178054,1.0,1.0,7.0,5.0,12.0,9.0,387.0,402.0,484.0,640.0,1463.0,1273.0,19.74071877637573,19.690761528048537,20.088142909620956,2.29672610631654,4.662400830311412,6.0928839660641625,0.49999999999999994,0.8660254037844387,53.0,219.25,2,2.1189011890118903,1,1,258.0,1.0,0,2025,2,38.5,243.5,2,1.0
68001,2025,2,258,1,BUCARAMANGA,SANTANDER,2025-02-01,19.979342156722407,17.91922302206762,5.931258135983726,0.4795487726767232,2.9565917036765335,-3.394534850191363,0.09653734086960676,0.11584170552331675,17.100755108042744,2.0,1.0,1.0,7.0,11.0,4.0,323.0,387.0,402.0,484.0,933.0,1112.0,19.282595208855756,19.74071877637573,19.690761528048537,0.7557430223123898,2.29672610631654,4.662400830311412,0.8660254037844386,0.5000000000000001,38.5,243.5,2,1.6472466081404629,1,1,322.0,1.0,0,2025,3,42.5,319.5,1,1.0
68001,2025,3,322,0,BUCARAMANGA,SANTANDER,2025-03-01,20.04331750357025,18.1191220869472,2.902707737213408,0.48067497432347966,5.7141166204027884,-3.1596832825895236,0.17295088760940217,0.11505988953065308,16.383144076254315,1.0,2.0,1.0,1.0,5.0,4.0,258.0,323.0,387.0,402.0,640.0,968.0,19.979342156722407,19.282595208855756,19.74071877637573,5.931258135983726,0.7557430223123898,2.29672610631654,1.0,6.123233995736766e-17,42.5,319.5,2,1.6749024707412223,1,1,366.0,1.0,0,2025,4,59.5,365.5,1,1.0
